MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10001583637,000000000024709845,1.388,Active Import Interval (kW),13-05-2025 07:30
10001583637,000000000024709845,0.084,Active Import Interval (kW),13-05-2025 07:00
10001583637,000000000024709845,0.086,Active Import Interval (kW),13-05-2025 06:30
10001583637,000000000024709845,3.100,Active Import Interval (kW),13-05-2025 06:00
10001583637,000000000024709845,3.234,Active Import Interval (kW),13-05-2025 05:30
10001583637,000000000024709845,3.238,Active Import Interval (kW),13-05-2025 05:00
10001583637,000000000024709845,3.220,Active Import Interval (kW),13-05-2025 04:30
10001583637,000000000024709845,0.418,Active Import Interval (kW),13-05-2025 04:00
10001583637,000000000024709845,0.084,Active Import Interval (kW),13-05-2025 03:30
10001583637,000000000024709845,0.086,Active Import Interval (kW),13-05-2025 03:00
10001583637,000000000024709845,0.066,Active Import Interval (kW),13-05-2025 02:30
10001583637,000000000024709845,0.076,Active Import Interval (kW),13-05-2025 02:00
10001583637,000000000024709845,0.098,Active Import Interval (kW),13-05-2025 01:30
10001583637,000000000024709845,0.114,Active Import Interval (kW),13-05-2025 01:00
10001583637,000000000024709845,0.126,Active Import Interval (kW),13-05-2025 00:30
10001583637,000000000024709845,0.146,Active Import Interval (kW),13-05-2025 00:00
10001583637,000000000024709845,0.110,Active Import Interval (kW),12-05-2025 23:30
10001583637,000000000024709845,0.114,Active Import Interval (kW),12-05-2025 23:00
10001583637,000000000024709845,0.134,Active Import Interval (kW),12-05-2025 22:30
10001583637,000000000024709845,0.152,Active Import Interval (kW),12-05-2025 22:00
10001583637,000000000024709845,1.230,Active Import Interval (kW),12-05-2025 21:30
10001583637,000000000024709845,0.890,Active Import Interval (kW),12-05-2025 21:00
10001583637,000000000024709845,1.364,Active Import Interval (kW),12-05-2025 20:30
10001583637,000000000024709845,2.200,Active Import Interval (kW),12-05-2025 20:00
10001583637,000000000024709845,0.096,Active Import Interval (kW),12-05-2025 19:30
10001583637,000000000024709845,0.090,Active Import Interval (kW),12-05-2025 19:00
